number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
64,0.0,2026-02-05 02:25:33.335932,2026-02-05 02:25:33.369923,0 days 00:00:00.033991,-0.39522268455490933,2.3387381202838418e-05,0.681488599326353,0.0007892930758513983,0.00024288999538650568,COMPLETE
65,0.0,2026-02-05 02:25:33.373299,2026-02-05 02:25:33.406808,0 days 00:00:00.033509,-1.0885189214239257,8.872262934641858e-05,0.18916385410684364,5.546934432049623e-05,0.0001670314506038012,COMPLETE
66,0.0,2026-02-05 02:25:33.409894,2026-02-05 02:25:33.443549,0 days 00:00:00.033655,-0.9388126977920146,9.453103199121554e-05,0.24762066332975025,0.0001426439336191966,1.4362242689238798e-05,COMPLETE
67,0.0,2026-02-05 02:25:33.446659,2026-02-05 02:25:33.480908,0 days 00:00:00.034249,-1.416149062262547,4.767162600442766e-05,0.4017082837074394,0.0005391319094243451,1.2694424395170002e-05,COMPLETE
68,0.0,2026-02-05 02:25:33.484109,2026-02-05 02:25:33.517859,0 days 00:00:00.033750,-1.2307551361269802,9.999343374062526e-05,0.30687492758409673,9.880145931115703e-05,9.770924887019216e-05,COMPLETE
69,0.0,2026-02-05 02:25:33.521286,2026-02-05 02:25:33.554786,0 days 00:00:00.033500,-1.327124313077954,8.363648743155039e-05,0.7530548767567012,7.69151120660141e-05,0.00029693001030539065,COMPLETE
70,0.0,2026-02-05 02:25:33.557999,2026-02-05 02:25:33.592034,0 days 00:00:00.034035,-0.8642642165732343,7.883939494525133e-05,0.9389626766293016,0.00012323494934329455,2.4664127459455245e-05,COMPLETE
71,0.0,2026-02-05 02:25:33.595155,2026-02-05 02:25:33.629178,0 days 00:00:00.034023,-1.4685544262519359,7.106365602918209e-05,0.12687331024251783,0.0001575567194218077,4.6591283274142744e-05,COMPLETE
72,0.0,2026-02-05 02:25:33.632411,2026-02-05 02:25:33.668080,0 days 00:00:00.035669,-1.1415532287330956,7.409770760913221e-05,0.1780860070987592,6.991699645873248e-05,7.090512668703577e-05,COMPLETE
73,0.0,2026-02-05 02:25:33.671318,2026-02-05 02:25:33.705695,0 days 00:00:00.034377,-1.0261206631134892,6.607900251081381e-05,0.26122311485731103,8.408993099386926e-05,0.00018123915883101193,COMPLETE
74,0.0,2026-02-05 02:25:33.709907,2026-02-05 02:25:33.744002,0 days 00:00:00.034095,-1.5794790734559905,8.110316742444154e-05,0.29298106503838617,0.000920429486481972,5.2214137678159006e-05,COMPLETE
75,0.0,2026-02-05 02:25:33.747037,2026-02-05 02:25:33.781453,0 days 00:00:00.034416,-0.7731495597567832,5.968670433947004e-05,0.35410740059948154,5.024812494200362e-05,2.116780573695537e-05,COMPLETE
76,0.0,2026-02-05 02:25:33.784677,2026-02-05 02:25:33.825774,0 days 00:00:00.041097,-1.341802379170716,8.806859454765339e-05,0.6193166425206299,5.737921981698341e-05,1.144298301893278e-05,COMPLETE
77,0.0,2026-02-05 02:25:33.831486,2026-02-05 02:25:33.868322,0 days 00:00:00.036836,-0.6041160299070307,6.766170042407933e-05,0.4566309149061906,0.00010128162098138977,1.746916118708263e-05,COMPLETE
78,0.0,2026-02-05 02:25:33.871290,2026-02-05 02:25:33.909316,0 days 00:00:00.038026,-1.1970566514544863,5.444045065733045e-05,0.7889198724790852,0.00019192387339438878,3.9011282697765624e-05,COMPLETE
79,0.0,2026-02-05 02:25:33.913840,2026-02-05 02:25:33.965265,0 days 00:00:00.051425,-1.057537951302274,3.8214545716419e-05,0.5618202787153402,0.00034600286685905425,2.7602662471103705e-05,COMPLETE
80,0.0,2026-02-05 02:25:33.970736,2026-02-05 02:25:34.012964,0 days 00:00:00.042228,-1.6789112699096491,6.330975573673782e-05,0.7028850346983346,0.00020852110201429787,3.288672904577568e-05,COMPLETE
81,0.0,2026-02-05 02:25:34.016425,2026-02-05 02:25:34.049964,0 days 00:00:00.033539,-1.2175850521857738,5.886846186820982e-05,0.14211794940485858,7.032004822997998e-05,5.913864577343133e-05,COMPLETE
82,0.0,2026-02-05 02:25:34.052997,2026-02-05 02:25:34.088702,0 days 00:00:00.035705,-1.2694637446012162,4.457052800572163e-05,0.22589331183150557,6.23503567780686e-05,4.816427662444822e-05,COMPLETE
83,0.0,2026-02-05 02:25:34.092094,2026-02-05 02:25:34.125748,0 days 00:00:00.033654,-1.3824509175864712,7.378008994817868e-05,0.09330701017451973,5.637488084413422e-05,1.5191412400125518e-05,COMPLETE
84,0.0,2026-02-05 02:25:34.128900,2026-02-05 02:25:34.164351,0 days 00:00:00.035451,-1.1305056139052887,5.1207333313759906e-05,0.16624035755485317,0.0006668925942093525,4.4226465543842564e-05,COMPLETE
85,0.0,2026-02-05 02:25:34.167715,2026-02-05 02:25:34.202206,0 days 00:00:00.034491,-1.3014688968078358,1.464403595251621e-05,0.049536571497250104,5.0155017671350274e-05,2.2466007400796848e-05,COMPLETE
86,0.0,2026-02-05 02:25:34.206169,2026-02-05 02:25:34.242381,0 days 00:00:00.036212,-1.0755613706547538,5.823308678970205e-05,0.7352426792641362,0.0009995641356655809,1.9569104680910585e-05,COMPLETE
87,0.0,2026-02-05 02:25:34.245621,2026-02-05 02:25:34.282689,0 days 00:00:00.037068,-0.45239858049783754,2.8654088052485388e-05,0.21624075935627707,8.068954639990892e-05,6.479835361178428e-05,COMPLETE
88,0.0,2026-02-05 02:25:34.285942,2026-02-05 02:25:34.321181,0 days 00:00:00.035239,-0.9865228694355381,5.593049469811952e-05,0.5111071700328746,0.00017340752351278213,2.6081457339186033e-05,COMPLETE
89,0.0,2026-02-05 02:25:34.324480,2026-02-05 02:25:34.359852,0 days 00:00:00.035372,-0.9078404386251319,1.0904887506176019e-05,0.3319150081353274,6.633925690492672e-05,7.59279946867764e-05,COMPLETE
90,0.0,2026-02-05 02:25:34.363124,2026-02-05 02:25:34.397866,0 days 00:00:00.034742,-0.7303882663177275,7.683989837134902e-05,0.3939798643475415,0.0001350772989033017,2.9397367119369962e-05,COMPLETE
91,0.0,2026-02-05 02:25:34.401306,2026-02-05 02:25:34.436587,0 days 00:00:00.035281,-1.7701548918809782,6.174923172852434e-05,0.8178451056354217,0.00025100990536410515,0.000253630256985844,COMPLETE
92,0.0,2026-02-05 02:25:34.440448,2026-02-05 02:25:34.475658,0 days 00:00:00.035210,-1.4451442992941326,5.338979737429603e-05,0.4257700616892513,0.0003782547028032313,1.0031373556628048e-05,COMPLETE
93,0.0,2026-02-05 02:25:34.479086,2026-02-05 02:25:34.514836,0 days 00:00:00.035750,-1.8343427021859666,6.558942495493308e-05,0.2527230998231317,0.00032047879774764595,9.05174078501718e-05,COMPLETE
94,0.0,2026-02-05 02:25:34.519355,2026-02-05 02:25:34.555316,0 days 00:00:00.035961,-1.5132331459914925,8.430843534467374e-05,0.6476094295631702,0.0002704519393241695,1.3654715967873918e-05,COMPLETE
95,0.0,2026-02-05 02:25:34.559278,2026-02-05 02:25:34.595258,0 days 00:00:00.035980,-1.58261476596175,4.9046839880513896e-05,0.7662272613001873,0.0008794699789154009,1.6167443574290024e-05,COMPLETE
96,0.0,2026-02-05 02:25:34.598331,2026-02-05 02:25:34.634607,0 days 00:00:00.036276,-1.6475743158792961,5.327872456186386e-06,0.6816494101790662,0.00028939486804768256,5.210199454958842e-05,COMPLETE
97,0.0,2026-02-05 02:25:34.638095,2026-02-05 02:25:34.674100,0 days 00:00:00.036005,-1.4055478614601438,4.6046466422924256e-05,0.734112861027404,0.00045217107802182844,2.3376637186535842e-05,COMPLETE
98,0.0,2026-02-05 02:25:34.677782,2026-02-05 02:25:34.713955,0 days 00:00:00.036173,-1.1535756931368348,2.4327078733171288e-05,0.5574309241519187,0.0003528560811591377,3.898964814482758e-05,COMPLETE
99,0.0,2026-02-05 02:25:34.717623,2026-02-05 02:25:34.753708,0 days 00:00:00.036085,-1.559310364206547,9.186377247120133e-05,0.11127539277655663,0.00010988826869337425,0.00018583247631552457,COMPLETE
100,113.51999999999998,2026-02-05 02:32:41.873790,2026-02-05 02:34:10.161045,0 days 00:01:28.287255,-1.2582967955011926,6.7781198466495e-05,0.20884477919446706,0.0008067803942909181,0.0002685324945544447,COMPLETE
101,,2026-02-05 02:34:10.166300,2026-02-05 02:34:21.682532,0 days 00:00:11.516232,-1.2403746680716705,6.981307529941304e-05,0.18390300604013152,0.0008197748353124402,0.00022864651580192425,FAIL
102,116.5,2026-02-05 02:34:35.285291,2026-02-05 02:35:58.526987,0 days 00:01:23.241696,-1.3556799989009884,7.15011139347726e-05,0.20480916004691296,0.0009122857066912698,0.0002768475276466947,COMPLETE
103,129.35999999999999,2026-02-05 02:35:58.531854,2026-02-05 02:37:16.836834,0 days 00:01:18.304980,-1.2508933931804749,7.31210248210279e-05,0.20341838114368405,0.0007854029339357273,0.00027168378637384277,COMPLETE
104,120.55999999999999,2026-02-05 02:37:16.840565,2026-02-05 02:38:35.725764,0 days 00:01:18.885199,-1.2502828969155018,7.796424743844907e-05,0.2991728902161413,0.0007569274670851444,0.00022234862713768047,COMPLETE
105,98.0,2026-02-05 02:38:35.728816,2026-02-05 02:39:54.141555,0 days 00:01:18.412739,-1.3691278931589332,7.01149061438637e-05,0.19390502447069116,0.0008047751679006169,0.00023201242111494606,COMPLETE
106,103.64000000000001,2026-02-05 02:39:54.144610,2026-02-05 02:41:12.689187,0 days 00:01:18.544577,-1.3688919568284992,6.928758136454506e-05,0.20053549277245533,0.0008118152211531091,0.00022863690284678802,COMPLETE
107,106.12,2026-02-05 02:41:12.692119,2026-02-05 02:42:31.374090,0 days 00:01:18.681971,-1.2646718330540547,6.916644602925884e-05,0.19919101432985298,0.0007931382665473823,0.00022837566409927927,COMPLETE
108,109.3,2026-02-05 02:42:31.377208,2026-02-05 02:43:50.708355,0 days 00:01:19.331147,-1.2449735512240587,7.1635453567227e-05,0.1967705465359932,0.0007988082014294082,0.0002293539893610179,COMPLETE
109,144.28,2026-02-05 02:43:50.711285,2026-02-05 02:45:10.300553,0 days 00:01:19.589268,-1.2372927291170306,7.168775240176807e-05,0.20359686992100773,0.0007907749115757653,0.00027543223289442135,COMPLETE
110,107.24000000000001,2026-02-05 02:45:10.304257,2026-02-05 02:46:29.352397,0 days 00:01:19.048140,-1.3525570747267766,7.177160952988784e-05,0.20589479028712673,0.0008028206116841342,0.00022474338671179015,COMPLETE
111,115.22,2026-02-05 02:46:29.355410,2026-02-05 02:47:49.851271,0 days 00:01:20.495861,-1.358649655583954,7.188303546387998e-05,0.1968683759673408,0.0008079860739155184,0.00023434171977682172,COMPLETE
112,112.6,2026-02-05 02:47:49.854198,2026-02-05 02:49:15.380488,0 days 00:01:25.526290,-1.3578888538564085,7.228565888149468e-05,0.1947748738473665,0.0007873295036627479,0.0002316276745922789,COMPLETE
113,144.85999999999999,2026-02-05 02:49:15.383466,2026-02-05 02:50:35.041251,0 days 00:01:19.657785,-1.3561567281544118,7.070442935698835e-05,0.2023645932385683,0.0007953311169458136,0.000230480454196297,COMPLETE
114,112.4,2026-02-05 02:50:35.044742,2026-02-05 02:51:56.900759,0 days 00:01:21.856017,-1.3116949630075314,7.177593908172975e-05,0.20599764037338236,0.0007646198020928252,0.00027375831937764936,COMPLETE
115,112.66000000000001,2026-02-05 02:51:56.903825,2026-02-05 02:53:17.545851,0 days 00:01:20.642026,-1.2678528204608475,7.735562316832867e-05,0.16776374500512248,0.0006856327219598902,0.0002714319913701374,COMPLETE
116,106.47999999999999,2026-02-05 02:53:17.548987,2026-02-05 02:54:37.476305,0 days 00:01:19.927318,-1.2293448645133325,7.165590208290348e-05,0.16406423029116846,0.0006881805686851473,0.00027562914792258304,COMPLETE
117,125.35999999999999,2026-02-05 02:54:37.479598,2026-02-05 02:55:57.282265,0 days 00:01:19.802667,-1.301536435612375,7.582859999286384e-05,0.14871155724361562,0.0007561794452636,0.0001960857602945785,COMPLETE
118,112.74000000000001,2026-02-05 02:55:57.285241,2026-02-05 02:57:17.680906,0 days 00:01:20.395665,-1.2984646534448303,7.602882514143264e-05,0.13208177049036363,0.0007445838611893063,0.00019867221529873912,COMPLETE
119,134.96,2026-02-05 02:57:17.684090,2026-02-05 02:58:38.410447,0 days 00:01:20.726357,-1.3094891655675256,7.637712853285406e-05,0.1448515539222113,0.0006108194179995594,0.00019501655075556553,COMPLETE
120,119.55999999999999,2026-02-05 02:58:38.413418,2026-02-05 02:59:58.439854,0 days 00:01:20.026436,-1.4646700064695084,7.647405513205459e-05,0.06707531166572059,0.0006451943897042752,0.00019308003051348496,COMPLETE
121,124.01999999999998,2026-02-05 02:59:58.442991,2026-02-05 03:01:18.511635,0 days 00:01:20.068644,-1.4599051708836361,7.615222053534282e-05,0.122710446508057,0.0006229772891289303,0.00018854702427403434,COMPLETE
122,120.52000000000001,2026-02-05 03:01:18.514677,2026-02-05 03:02:39.042364,0 days 00:01:20.527687,-1.4431004642908096,7.674308810862854e-05,0.07359292742985261,0.0006313924220401974,0.00019264613136101303,COMPLETE
123,121.04,2026-02-05 03:02:39.045388,2026-02-05 03:04:00.102638,0 days 00:01:21.057250,-1.4751302261893453,7.585474523652829e-05,0.07582789732700213,0.0006363275367592289,0.00019720936475686488,COMPLETE
