number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
53,113.4,2026-02-06 07:46:09.580310,2026-02-06 07:47:40.063379,0 days 00:01:30.483069,-1.5197693660199192,2.4539889662417833,0.0009633973874936496,0.0007790524399654167,COMPLETE
54,117.03999999999999,2026-02-06 07:47:40.066592,2026-02-06 07:49:09.115232,0 days 00:01:29.048640,-1.2826643938255615,3.162167840864748,0.001501880956025104,0.00044124895890243634,COMPLETE
55,101.0,2026-02-06 07:49:09.118470,2026-02-06 07:50:37.086042,0 days 00:01:27.967572,-0.471356546728548,2.8023947508604587,0.0006438687883286536,0.00019105984722264202,COMPLETE
56,117.97999999999999,2026-02-06 07:50:37.089185,2026-02-06 07:52:07.125534,0 days 00:01:30.036349,-1.4176187954567439,2.286958973861899,0.0022526831037063483,0.0003008241635542437,COMPLETE
57,102.64000000000001,2026-02-06 07:52:07.128742,2026-02-06 07:53:35.177328,0 days 00:01:28.048586,-0.6985364925877164,3.4347139720220343,0.003298688242995463,0.0005100385021971874,COMPLETE
58,143.01999999999998,2026-02-06 07:53:35.180405,2026-02-06 07:55:05.101691,0 days 00:01:29.921286,-1.8366253289302246,4.364820649671371,0.00044559621453739185,0.00021047958184952447,COMPLETE
59,109.46000000000001,2026-02-06 07:55:05.105002,2026-02-06 07:56:33.799724,0 days 00:01:28.694722,-1.8463239579229158,4.413673877686832,0.006864678682954863,9.360056577880676e-05,COMPLETE
60,115.31999999999998,2026-02-06 07:56:33.802807,2026-02-06 07:58:02.470319,0 days 00:01:28.667512,-1.9602152285357621,4.781233085232342,0.00021194572489265608,0.0002533154189059051,COMPLETE
61,110.12,2026-02-06 07:58:02.473405,2026-02-06 07:59:31.528305,0 days 00:01:29.054900,-1.7233889184971645,4.0025650532424155,0.0005405518050798065,0.00036232668108127753,COMPLETE
62,117.55999999999999,2026-02-06 07:59:31.531302,2026-02-06 08:01:06.287909,0 days 00:01:34.756607,-1.9218328288466342,4.620539958451805,0.00033347045236659415,0.00020988110076870388,COMPLETE
