number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
49,126.0,2026-02-03 01:53:25.486797,2026-02-03 01:55:52.113592,0 days 00:02:26.626795,-0.7315235257893967,0.16777240529437315,0.46621269282357025,0.0004807442988796531,0.0002049702154697409,COMPLETE
50,133.85000000000002,2026-02-03 01:55:52.116893,2026-02-03 01:58:20.304277,0 days 00:02:28.187384,-0.14053510378018302,0.15625575274979572,0.4374904498392428,0.0003716098333316765,3.8674919744250375e-05,COMPLETE
51,114.45,2026-02-03 01:58:20.307485,2026-02-03 02:00:47.657433,0 days 00:02:27.349948,-0.12941029912090413,0.17985957951443934,0.495638565666329,0.00019313769214491692,1.4813540446034703e-05,COMPLETE
52,136.75,2026-02-03 02:00:47.660820,2026-02-03 02:03:14.176063,0 days 00:02:26.515243,-0.6859125666266298,0.1487208653657718,0.4171664572773275,0.0005600923169972729,7.951555254264845e-05,COMPLETE
53,135.65,2026-02-03 02:03:14.179333,2026-02-03 02:05:40.223547,0 days 00:02:26.044214,-0.8263183915822415,0.1389644560193333,0.39823578043987085,0.0006725650482981544,6.275694865265833e-05,COMPLETE
54,122.45,2026-02-03 02:05:40.226786,2026-02-03 02:08:06.724263,0 days 00:02:26.497477,-0.31048415579967475,0.11658381799360587,0.3138389406340582,0.0008614160918208645,9.473253284525293e-05,COMPLETE
55,132.7,2026-02-03 02:08:06.727624,2026-02-03 02:10:33.099727,0 days 00:02:26.372103,-0.5481747235426164,0.16374988771953933,0.4547985550063214,0.0003025687829113064,0.00013857200880336765,COMPLETE
56,149.64999999999998,2026-02-03 02:10:33.102893,2026-02-03 02:13:00.081136,0 days 00:02:26.978243,-0.24524449274331722,0.15386320634800632,0.28017785738768014,0.0004683664055845933,0.00011214353564786016,COMPLETE
57,120.55,2026-02-03 02:13:00.084376,2026-02-03 02:15:29.500023,0 days 00:02:29.415647,-0.5009411323775137,0.10532837960958485,0.3224285492104678,5.062226855422273e-05,1.1266991536899743e-05,COMPLETE
58,152.05,2026-02-03 13:34:37.861693,2026-02-03 13:36:56.662035,0 days 00:02:18.800342,-0.5780510906599062,0.16704484331812788,0.36033304440796304,0.0007467835784716397,4.501074720652059e-05,COMPLETE
59,139.39999999999998,2026-02-03 13:45:27.501859,2026-02-03 13:48:03.585969,0 days 00:02:36.084110,-0.6263352533649383,0.17396481266243857,0.48351255425454986,0.0005588702261047446,0.00012391928638201362,COMPLETE
60,107.95,2026-02-03 13:48:03.590656,2026-02-03 13:50:23.414805,0 days 00:02:19.824149,-0.4534570996556251,0.12228788609601346,0.3902700167274752,0.0003797761825799795,0.0001567580961338672,COMPLETE
